Current rank,Previous rank,Current vs. previous,Company,Headquarters,Accounting principle,Total assets (US$B)
1,1,NC,Industrial and Commercial Bank of China Ltd. (1398-SEHK),China,IFRS,"5,742.86"
2,2,NC,China Construction Bank Corp. (939-SEHK),China,IFRS,"5,016.81"
3,3,NC,Agricultural Bank of China Ltd. (1288-SEHK),China,IFRS,"4,919.03"
4,4,NC,Bank of China Ltd. (3988-SEHK),China,IFRS,"4,192.12"
5,5,NC,JPMorgan Chase & Co. (JPM-NYSE),U.S.,U.S. GAAP,"3,665.74"
6,7,?,Bank of America Corp. (BAC-NYSE),U.S.,U.S. GAAP,"3,051.38"
7,6,?,Mitsubishi UFJ Financial Group Inc. (8306-TSE),Japan,Japanese GAAP,"2,967.91"
8,8,NC,HSBC Holdings PLC (HSBA-LSE),U.K.,IFRS,"2,864.59"
9,9,NC,BNP Paribas SA (BNP-ENXTPA),France,IFRS,"2,849.61"
10,10,NC,Crédit Agricole Group,France,IFRS,"2,542.61"
11,11,NC,Citigroup Inc. (C-NYSE),U.S.,U.S. GAAP,"2,416.68"
12,14,?,Postal Savings Bank of China Co. Ltd. (1658-SEHK),China,IFRS,"2,039.56"
13,12,?,Sumitomo Mitsui Financial Group Inc. (8316-TSE),Japan,Japanese GAAP,"2,006.75"
14,15,?,Mizuho Financial Group Inc. (8411-TSE),Japan,Japanese GAAP,"1,909.35"
15,18,?,Bank of Communications Co. Ltd. (3328-SEHK),China,IFRS,"1,883.72"
16,16,NC,Wells Fargo & Co. (WFC-NYSE),U.S.,U.S. GAAP,"1,881.02"
17,19,?,Banco Santander SA (SAN-BME),Spain,IFRS,"1,853.86"
18,17,?,Barclays PLC (BARC-LSE),U.K.,IFRS,"1,823.84"
19,13,?,JAPAN POST BANK Co. Ltd. (7182-TSE),Japan,Japanese GAAP,"1,719.92"
20,34,?,UBS Group AG (UBSG-SWX),Switzerland,IFRS,"1,679.36"
21,20,?,Groupe BPCE,France,IFRS,"1,636.35"
22,21,?,Société Générale SA (GLE-ENXTPA),France,IFRS,"1,588.99"
23,26,?,Royal Bank of Canada (RY-TSX)**,Canada,IFRS,"1,544.17"
24,23,?,The Toronto-Dominion Bank (TD-TSX)**,Canada,IFRS,"1,524.83"
25,25,NC,China Merchants Bank Co. Ltd. (600036-SHSE),China,IFRS,"1,470.00"
26,24,?,Goldman Sachs Group Inc. (GS-NYSE),U.S.,U.S. GAAP,"1,441.80"
27,22,?,Deutsche Bank AG (DBK-XTRA),Germany,IFRS,"1,428.65"
28,27,?,Industrial Bank Co. Ltd. (601166-SHSE),China,PRC GAAP,"1,343.54"
29,28,?,China Citic Bank Corp. Ltd. (998-SEHK),China,IFRS,"1,239.28"
30,29,?,Shanghai Pudong Development Bank Co. Ltd. (600000-SHSE)***,China,IFRS,"1,184.28"
31,33,?,Morgan Stanley (MS-NYSE),U.S.,U.S. GAAP,"1,180.23"
32,30,?,Crédit Mutuel Group,France,IFRS,"1,180.22"
33,32,?,Lloyds Banking Group PLC (LLOY-LSE),U.K.,IFRS,"1,057.69"
34,35,?,China Minsheng Banking Corp. Ltd. (600016-SHSE),China,IFRS,"1,051.97"
35,31,?,Intesa Sanpaolo SpA (ISP-BIT),Italy,IFRS,"1,042.73"
36,36,NC,ING Groep NV (INGA-ENXTAM),Netherlands,IFRS,"1,034.32"
37,39,?,The Bank of Nova Scotia (BNS-TSX)**,Canada,IFRS,"1,029.80"
38,38,NC,UniCredit SpA (UCG-BIT),Italy,IFRS,916.72
